rank,matrix,score,error_reduction_percent,conditional_velocity_l2,null_velocity_l2,failed_captures,added_weight_bytes,added_weight_mib,reduction_percent_per_added_mib,probe_wall_seconds
72,double_blocks.1.img_attn.qkv.weight,0.002627494293749253,-0.09227979684795502,0.002627494293749253,0.001702301209617809,19,14438400,13.76953125,-0.006701738437752194,107.99967250000918
73,double_blocks.6.img_attn.qkv.weight,0.0026275273575374755,-0.0935393352415433,0.0026275273575374755,0.001679219263537553,19,14438400,13.76953125,-0.006793211296974492,102.07175139998435
74,double_blocks.6.txt_mlp.2.weight,0.0026276665799279996,-0.09884290012443377,0.0026276665799279996,0.0016955605143720036,19,19251200,18.359375,-0.005383783496139371,103.54234349998296
75,double_blocks.2.img_mlp.0.weight,0.0026280329054458457,-0.1127977758081621,0.0026280329054458457,0.0016969118773625458,19,19251200,18.359375,-0.00614387885252968,106.63865360000636
76,double_blocks.4.img_attn.qkv.weight,0.0026283651447444553,-0.1254541644119555,0.0026283651447444553,0.001666540479360165,19,14438400,13.76953125,-0.009110997472187406,107.67300939999404
77,double_blocks.3.txt_attn.qkv.weight,0.0026283670307793647,-0.1255260113934346,0.0026283670307793647,0.0016894832373774427,19,14438400,13.76953125,-0.009116215295523195,106.68256359998486
78,single_blocks.5.linear2.weight,0.002628391590625625,-0.12646159896426806,0.002628391590625625,0.0016890259770114358,19,24064000,22.94921875,-0.005510496908060021,106.67789069999708
79,double_blocks.3.img_attn.proj.weight,0.0026284050688686936,-0.12697504178299934,0.0026284050688686936,0.001664162082442758,19,4812800,4.58984375,-0.027664349528891772,106.68569319997914
80,double_blocks.6.img_mlp.0.weight,0.002628568881778104,-0.1332153626857131,0.002628568881778104,0.0016827686100958019,19,19251200,18.359375,-0.0072559857122430965,101.64811639999971
81,double_blocks.3.img_mlp.0.weight,0.0026286919872975877,-0.1379049683415684,0.0026286919872975877,0.0016904731006660947,19,19251200,18.359375,-0.007511419552221598,105.86009010000271
82,double_blocks.2.txt_attn.qkv.weight,0.002628738277320877,-0.1396683495119477,0.002628738277320877,0.0016812937153281465,19,14438400,13.76953125,-0.010143290063846415,105.74648239999078
83,double_blocks.2.txt_attn.proj.weight,0.002628869848306024,-0.14468044026694132,0.002628869848306024,0.0016648821520565372,19,4812800,4.58984375,-0.031521866134754876,105.9800940999994
84,double_blocks.1.img_attn.proj.weight,0.0026289148210933725,-0.14639364239461938,0.0026289148210933725,0.0016654836619065035,19,4812800,4.58984375,-0.031895125491934094,108.29423439997481
85,double_blocks.4.txt_attn.qkv.weight,0.0026293164729291442,-0.16169424571947452,0.0026293164729291442,0.0016966263282663812,19,14438400,13.76953125,-0.011742901249414319,106.24942450001254
86,x_patch_mixer.2.linear2.weight,0.002629414756788629,-0.1654382902209178,0.002629414756788629,0.001674155609778557,19,24064000,22.94921875,-0.00720888549728595,106.65720570000121
87,double_blocks.7.txt_attn.proj.weight,0.002629506713811035,-0.16894131895738368,0.002629506713811035,0.0016702073615023237,19,4812800,4.58984375,-0.03680764055582147,100.9316933999944
88,double_blocks.6.txt_attn.proj.weight,0.0026303022647055268,-0.19924718980686823,0.0026303022647055268,0.0016869073655877023,19,4812800,4.58984375,-0.04341045156643257,101.33004839997739
89,x_patch_mixer.2.linear1.weight,0.002630676925767816,-0.2135196013454366,0.002630676925767816,0.0016019320848105808,19,33689600,32.12890625,-0.006645716467408118,107.16370599999209
90,double_blocks.3.txt_attn.proj.weight,0.0026309593138606284,-0.22427694839822873,0.0026309593138606284,0.0016589895256580987,19,4812800,4.58984375,-0.048863743651018345,107.06486749998294
91,double_blocks.5.txt_mlp.0.weight,0.0026310701732684357,-0.22850004828878118,0.0026310701732684357,0.0016657926711367435,19,19251200,18.359375,-0.012445960077005953,102.02160479998565
92,double_blocks.0.txt_mlp.2.weight,0.0026312191173027823,-0.2341739513664583,0.0026312191173027823,0.0016638694749068863,19,19251200,18.359375,-0.012755006712726238,107.31217300001299
93,double_blocks.1.txt_attn.proj.weight,0.00263170151178007,-0.2525503806161793,0.00263170151178007,0.001685954182789608,19,4812800,4.58984375,-0.05502374250020587,105.19586010000785
94,x_patch_mixer.1.linear2.weight,0.00263213036633156,-0.2688872494961688,0.00263213036633156,0.0016397858507152718,19,24064000,22.94921875,-0.011716618871662846,109.46664479997708
95,double_blocks.3.img_mlp.2.weight,0.002632266839910472,-0.2740861006136958,0.002632266839910472,0.0016749256018206025,19,19251200,18.359375,-0.014928945054703432,105.54729960000259
96,double_blocks.0.img_attn.proj.weight,0.0026325851295409845,-0.2862110878418176,0.0026325851295409845,0.0016505024715648517,19,4812800,4.58984375,-0.0623574795638343,110.95377789999475
97,x_patch_mixer.1.linear1.weight,0.002632641360766529,-0.2883531711087142,0.002632641360766529,0.0016181510267550133,19,33689600,32.12890625,-0.008974882894082777,112.96064649999607
98,double_blocks.2.txt_mlp.2.weight,0.002632923113686177,-0.2990863217511653,0.002632923113686177,0.0016819446652256043,19,19251200,18.359375,-0.016290659227297513,106.17469809998875
99,x_patch_mixer.0.linear2.weight,0.0026329932519667068,-0.30175818308154523,0.0026329932519667068,0.0016355235229423529,18,24064000,22.94921875,-0.01314895231810648,106.91610349999974
100,double_blocks.5.txt_attn.proj.weight,0.0026333624981603105,-0.31582431955690604,0.0026333624981603105,0.001683452061916779,19,4812800,4.58984375,-0.0688093836651642,108.78830939999898
101,double_blocks.1.txt_mlp.0.weight,0.002635877907398956,-0.4116468094161732,0.002635877907398956,0.001687133371514123,19,19251200,18.359375,-0.022421613449051137,112.31111740000779
102,double_blocks.0.txt_attn.qkv.weight,0.0026366671151013773,-0.44171104147045953,0.0026366671151013773,0.0016692489310906108,19,14438400,13.76953125,-0.032078872798989404,109.72121419999166
103,double_blocks.0.img_mlp.0.weight,0.00263676624919956,-0.44548747513058373,0.00263676624919956,0.0016768871226118106,19,19251200,18.359375,-0.024264849709240307,111.69377440001699
104,double_blocks.1.txt_attn.qkv.weight,0.0026378397230067295,-0.48638059559041436,0.0026378397230067295,0.0016734156200346175,19,14438400,13.76953125,-0.03532295956628258,106.82280419999734
